Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,twy_enc,orig,32,8,8,5,1,1,8,1,1
main1.c,twy_enc,orig-opt,32,6,6,5,2,2,8,2,2
main1.c,twy_enc,isochr,68,10,10,14,5,5,17,2,2
main1.c,twy_enc,isochr-opt,43,7,7,7,2,2,10,2,2
main1.c,twy_dec,orig,55,10,10,10,2,2,13,1,1
main1.c,twy_dec,orig-opt,54,8,8,10,4,4,13,2,2
main1.c,twy_dec,isochr,136,22,22,28,10,10,34,3,3
main1.c,twy_dec,isochr-opt,86,14,14,14,4,4,20,2,2
main1.c,mu,orig,3.129,550,549,2.329,14,14,49,2,2
main1.c,mu,orig-opt,2.667,280,280,112,11,11,91,8,8
main1.c,mu,isochr,29.354,3.263,3.263,7.176,1.293,1.293,6.357,1.090,1.079
main1.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.136,3.328,1.503,1.503
main2.c,twy_enc,orig,32,8,8,5,1,1,8,1,1
main2.c,twy_enc,orig-opt,32,7,7,5,2,2,8,2,2
main2.c,twy_enc,isochr,68,10,10,14,5,5,17,2,2
main2.c,twy_enc,isochr-opt,43,7,7,7,2,2,10,2,2
main2.c,twy_dec,orig,55,11,11,10,2,2,13,1,1
main2.c,twy_dec,orig-opt,54,11,11,10,4,4,13,2,2
main2.c,twy_dec,isochr,136,22,22,28,10,10,34,3,3
main2.c,twy_dec,isochr-opt,86,14,14,14,4,4,20,2,2
main2.c,mu,orig,3.177,569,569,2.372,14,14,49,2,2
main2.c,mu,orig-opt,2.667,280,280,112,11,11,91,8,8
main2.c,mu,isochr,29.354,3.263,3.263,7.176,1.293,1.293,6.357,1.090,1.079
main2.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.136,3.328,1.503,1.503
main3.c,twy_enc,orig,32,8,8,5,1,1,8,1,1
main3.c,twy_enc,orig-opt,32,7,7,5,2,2,8,2,2
main3.c,twy_enc,isochr,68,11,11,14,5,5,17,2,2
main3.c,twy_enc,isochr-opt,43,6,6,7,2,2,10,2,2
main3.c,twy_dec,orig,55,11,11,10,2,2,13,1,1
main3.c,twy_dec,orig-opt,54,11,11,10,4,4,13,2,2
main3.c,twy_dec,isochr,136,20,20,28,10,10,34,3,3
main3.c,twy_dec,isochr-opt,86,12,12,14,4,4,20,2,2
main3.c,mu,orig,3.195,587,586,2.387,14,14,49,2,2
main3.c,mu,orig-opt,2.667,280,280,112,11,11,91,8,8
main3.c,mu,isochr,29.354,3.263,3.263,7.176,1.293,1.293,6.357,1.090,1.084
main3.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.135,3.328,1.503,1.503
main4.c,twy_enc,orig,32,8,8,5,1,1,8,1,1
main4.c,twy_enc,orig-opt,32,6,6,5,2,2,8,2,2
main4.c,twy_enc,isochr,68,11,11,14,5,5,17,2,2
main4.c,twy_enc,isochr-opt,43,6,6,7,2,2,10,2,2
main4.c,twy_dec,orig,55,10,10,10,2,2,13,1,1
main4.c,twy_dec,orig-opt,54,8,8,10,4,4,13,2,2
main4.c,twy_dec,isochr,136,20,20,28,10,10,34,3,3
main4.c,twy_dec,isochr-opt,86,12,12,14,4,4,20,2,2
main4.c,mu,orig,3.213,596,595,2.401,14,14,49,2,2
main4.c,mu,orig-opt,2.667,280,280,112,11,11,91,8,8
main4.c,mu,isochr,29.354,3.263,3.263,7.176,1.293,1.293,6.357,1.090,1.084
main4.c,mu,isochr-opt,18.057,2.145,2.145,5.005,1.136,1.135,3.328,1.503,1.503
