 Type,    N,  Mean, Median,   Std, #Outliers
  lif,   32, 0.001,  0.001,   0.0,         0
 meng,   32, 0.001,  0.001,   0.0,         1
  lif,   64, 0.003,  0.003,   0.0,         0
 meng,   64, 0.005,  0.005,   0.0,         0
  lif,   96, 0.004,  0.004,   0.0,         2
 meng,   96,  0.01,   0.01,   0.0,         1
  lif,  128, 0.006,  0.006,   0.0,         0
 meng,  128, 0.018,  0.018,   0.0,         0
  lif,  160, 0.008,  0.008,   0.0,         1
 meng,  160, 0.029,  0.028, 0.001,         1
  lif,  192, 0.011,  0.011,   0.0,         0
 meng,  192, 0.041,   0.04, 0.001,         1
  lif,  224, 0.014,  0.014,   0.0,         2
 meng,  224, 0.053,  0.053, 0.001,         1
  lif,  256, 0.017,  0.017,   0.0,         2
 meng,  256, 0.074,  0.074, 0.001,         1
  lif,  288,  0.02,   0.02,   0.0,         1
 meng,  288, 0.095,  0.094, 0.001,         0
  lif,  320, 0.024,  0.024,   0.0,         0
 meng,  320, 0.116,  0.117, 0.002,         0
  lif,  352, 0.028,  0.028,   0.0,         1
 meng,  352,  0.14,   0.14, 0.003,         0
  lif,  384, 0.034,  0.034,   0.0,         1
 meng,  384, 0.169,  0.169, 0.003,         0
  lif,  416, 0.039,  0.039,   0.0,         2
 meng,  416, 0.194,  0.194, 0.003,         0
  lif,  448, 0.043,  0.043,   0.0,         0
 meng,  448, 0.222,  0.222, 0.003,         0
  lif,  480, 0.049,  0.048,   0.0,         1
 meng,  480,  0.25,   0.25, 0.004,         0
  lif,  512, 0.054,  0.054, 0.001,         2
 meng,  512,  0.31,  0.309, 0.005,         0
  lif,  544, 0.059,   0.06,   0.0,         1
 meng,  544, 0.351,  0.351, 0.006,         0
  lif,  576, 0.065,  0.065,   0.0,         1
 meng,  576, 0.391,   0.39, 0.007,         0
  lif,  608, 0.071,  0.071,   0.0,         2
 meng,  608, 0.432,  0.432, 0.008,         0
  lif,  640, 0.077,  0.077,   0.0,         0
 meng,  640, 0.479,  0.479, 0.008,         0
  lif,  672, 0.084,  0.084,   0.0,         1
 meng,  672, 0.525,  0.525, 0.009,         0
  lif,  704, 0.091,   0.09,   0.0,         2
 meng,  704, 0.576,  0.577, 0.011,         0
  lif,  736, 0.098,  0.097, 0.001,         1
 meng,  736, 0.624,  0.623, 0.012,         0
  lif,  768, 0.116,  0.116, 0.001,         1
 meng,  768, 0.673,  0.671, 0.012,         1
  lif,  800, 0.124,  0.124, 0.001,         1
 meng,  800, 0.738,  0.734, 0.021,         0
  lif,  832, 0.133,  0.133, 0.001,         1
 meng,  832, 0.805,  0.808, 0.021,         0
  lif,  864, 0.142,  0.142, 0.001,         1
 meng,  864, 0.871,  0.872, 0.018,         0
  lif,  896, 0.153,  0.153, 0.002,         2
 meng,  896, 0.916,  0.918, 0.021,         0
  lif,  928, 0.163,  0.163, 0.002,         1
 meng,  928, 0.968,  0.975, 0.029,         0
  lif,  960, 0.174,  0.173, 0.002,         1
 meng,  960,  0.99,  0.992, 0.013,         1
  lif,  992, 0.184,  0.184, 0.002,         1
 meng,  992, 1.053,   1.05, 0.016,         0
  lif, 1024, 0.195,  0.195, 0.002,         1
 meng, 1024, 1.242,  1.235,  0.03,         0
