     Src,                  Fn,      Type,     Ir, I1mr, ILmr,     Dr, D1mr, DLmr,    Dw, D1mw, DLmw
 main1.c, rijndaelKeySetupEnc,      orig,    302,    3,    3,     51,    1,    1,    46,    1,    1
 main1.c, rijndaelKeySetupEnc,  orig-opt,    301,    3,    3,     54,    2,    2,    50,    1,    1
 main1.c, rijndaelKeySetupEnc,     invar,  4.065,   18,   18,  1.029,    1,    1,   557,    3,    3
 main1.c, rijndaelKeySetupEnc, invar-opt,  2.925,   13,   13,    877,    2,    2,   488,    2,    2
 main1.c,     rijndaelEncrypt,      orig, 18.360,    4,    4,  7.050,    4,    4,   600,    0,    0
 main1.c,     rijndaelEncrypt,  orig-opt, 18.570,    4,    4,  7.230,    4,    4,   780,    0,    0
 main1.c,     rijndaelEncrypt,     invar, 51.810,    8,    8, 12.180,    4,    4, 3.360,    0,    0
 main1.c,     rijndaelEncrypt, invar-opt, 29.250,    6,    6, 10.800,    4,    4, 2.160,    0,    0
 main2.c, rijndaelKeySetupEnc,      orig,    302,    3,    3,     51,    1,    1,    46,    1,    1
 main2.c, rijndaelKeySetupEnc,  orig-opt,    301,    3,    3,     54,    2,    2,    50,    1,    1
 main2.c, rijndaelKeySetupEnc,     invar,  4.065,   18,   18,  1.029,    1,    1,   557,    3,    3
 main2.c, rijndaelKeySetupEnc, invar-opt,  2.925,   13,   13,    877,    2,    2,   488,    2,    2
 main2.c,     rijndaelEncrypt,      orig, 21.540,    4,    4,  8.400,    4,    4,   690,    0,    0
 main2.c,     rijndaelEncrypt,  orig-opt, 21.986,    4,    4,  8.608,    4,    4,   900,    0,    0
 main2.c,     rijndaelEncrypt,     invar, 51.810,    8,    8, 12.180,    4,    4, 3.360,    0,    0
 main2.c,     rijndaelEncrypt, invar-opt, 29.250,    6,    6, 10.800,    4,    4, 2.160,    0,    0
 main3.c, rijndaelKeySetupEnc,      orig,    302,    3,    3,     51,    1,    1,    46,    1,    1
 main3.c, rijndaelKeySetupEnc,  orig-opt,    301,    3,    3,     54,    2,    2,    50,    1,    1
 main3.c, rijndaelKeySetupEnc,     invar,  4.065,   18,   18,  1.029,    1,    1,   557,    3,    3
 main3.c, rijndaelKeySetupEnc, invar-opt,  2.925,   13,   13,    877,    2,    2,   488,    2,    2
 main3.c,     rijndaelEncrypt,      orig, 24.540,    4,    4,  9.630,    4,    4,   690,    0,    0
 main3.c,     rijndaelEncrypt,  orig-opt, 25.230,    4,    4, 10.050,    4,    4, 1.020,    0,    0
 main3.c,     rijndaelEncrypt,     invar, 51.810,    8,    8, 12.180,    4,    4, 3.360,    0,    0
 main3.c,     rijndaelEncrypt, invar-opt, 29.250,    6,    6, 10.800,    4,    4, 2.160,    0,    0
