Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,setlokikey,orig,78,7,7,4,1,1,17,2,2
main1.c,setlokikey,orig-opt,78,7,7,4,1,1,17,1,1
main1.c,setlokikey,isochr,79,7,7,4,0,0,18,3,3
main1.c,setlokikey,isochr-opt,78,7,7,4,0,0,17,2,2
main1.c,enloki,orig,102,25,25,26,18,18,26,3,3
main1.c,enloki,orig-opt,102,27,27,26,18,18,26,3,3
main1.c,enloki,isochr,119,27,27,26,20,20,26,4,4
main1.c,enloki,isochr-opt,118,29,29,26,19,19,26,3,3
main2.c,setlokikey,orig,78,7,7,4,1,1,17,2,2
main2.c,setlokikey,orig-opt,78,7,7,4,1,1,17,1,1
main2.c,setlokikey,isochr,79,7,7,4,0,0,18,3,3
main2.c,setlokikey,isochr-opt,78,7,7,4,0,0,17,2,2
main2.c,enloki,orig,102,25,25,26,18,18,26,3,3
main2.c,enloki,orig-opt,102,27,27,26,18,18,26,3,3
main2.c,enloki,isochr,119,27,27,26,20,20,26,4,4
main2.c,enloki,isochr-opt,118,29,29,26,19,19,26,3,3
