Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,anubis_setkey,orig,3.028,474,474,1.139,873,873,231,143,142
main1.c,anubis_setkey,orig-opt,2.913,488,488,1.325,1.068,1.068,415,291,290
main1.c,anubis_setkey,isochr,3.026,473,473,1.135,819,819,227,106,106
main1.c,anubis_setkey,isochr-opt,2.916,489,489,1.324,1.032,1.032,414,278,278
main1.c,anubis_crypt,orig,1.048,150,150,329,283,283,144,57,57
main1.c,anubis_crypt,orig-opt,764,109,109,303,267,267,18,7,7
main1.c,anubis_crypt,isochr,1.038,148,148,319,277,277,136,58,58
main1.c,anubis_crypt,isochr-opt,753,108,108,297,263,263,12,3,3
main2.c,anubis_setkey,orig,3.028,474,474,1.139,866,866,231,145,144
main2.c,anubis_setkey,orig-opt,2.913,488,488,1.325,1.063,1.063,415,295,295
main2.c,anubis_setkey,isochr,3.026,473,473,1.135,816,816,227,111,110
main2.c,anubis_setkey,isochr-opt,2.916,489,489,1.324,1.036,1.036,414,277,277
main2.c,anubis_crypt,orig,1.048,150,150,329,279,279,144,55,55
main2.c,anubis_crypt,orig-opt,764,109,109,303,261,261,18,7,7
main2.c,anubis_crypt,isochr,1.038,148,148,319,277,277,136,53,53
main2.c,anubis_crypt,isochr-opt,753,108,108,297,257,257,12,3,3
