Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,cast6_setkey,orig,86,14,14,31,6,6,32,6,6
main1.c,cast6_setkey,orig-opt,86,13,13,31,5,5,32,7,7
main1.c,cast6_setkey,isochr,95,15,15,31,6,6,33,8,8
main1.c,cast6_setkey,isochr-opt,86,14,14,31,6,6,32,6,6
main1.c,cast6_encrypt,orig,84,20,20,16,3,3,25,2,2
main1.c,cast6_encrypt,orig-opt,84,20,20,16,4,4,25,2,2
main1.c,cast6_encrypt,isochr,136,29,29,17,5,5,39,15,15
main1.c,cast6_encrypt,isochr-opt,111,25,25,17,4,4,26,2,2
main2.c,cast6_setkey,orig,86,14,14,31,6,6,32,6,6
main2.c,cast6_setkey,orig-opt,86,13,13,31,5,5,32,7,7
main2.c,cast6_setkey,isochr,95,15,15,31,6,6,33,8,8
main2.c,cast6_setkey,isochr-opt,86,14,14,31,6,6,32,6,6
main2.c,cast6_encrypt,orig,84,20,20,16,3,3,25,2,2
main2.c,cast6_encrypt,orig-opt,84,20,20,16,4,4,25,2,2
main2.c,cast6_encrypt,isochr,136,29,29,17,5,5,39,15,15
main2.c,cast6_encrypt,isochr-opt,111,25,25,17,4,4,26,2,2
