Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,khazad_setkey,orig,536,91,91,232,210,210,58,30,30
main1.c,khazad_setkey,orig-opt,519,92,92,230,202,202,66,37,37
main1.c,khazad_setkey,isochr,535,92,92,239,216,216,67,32,32
main1.c,khazad_setkey,isochr-opt,519,92,92,230,204,204,66,35,35
main1.c,khazad_crypt,orig,246,35,35,78,75,75,4,1,1
main1.c,khazad_crypt,orig-opt,251,38,38,79,75,75,5,1,1
main1.c,khazad_crypt,isochr,247,35,35,78,75,75,5,1,1
main1.c,khazad_crypt,isochr-opt,251,38,38,79,75,75,5,1,1
main2.c,khazad_setkey,orig,536,91,91,232,205,205,58,30,30
main2.c,khazad_setkey,orig-opt,519,92,92,230,204,204,66,38,38
main2.c,khazad_setkey,isochr,535,92,92,239,214,214,67,34,34
main2.c,khazad_setkey,isochr-opt,519,92,92,230,208,208,66,33,33
main2.c,khazad_crypt,orig,246,35,35,78,75,75,4,1,1
main2.c,khazad_crypt,orig-opt,251,38,38,79,75,75,5,1,1
main2.c,khazad_crypt,isochr,247,35,35,78,76,76,5,1,1
main2.c,khazad_crypt,isochr-opt,251,38,38,79,76,76,5,1,1
