Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,RunEncryptionKeySchedule,orig,1.530,167,167,341,36,36,315,19,19
main1.c,RunEncryptionKeySchedule,orig-opt,1.411,156,156,102,44,44,43,23,23
main1.c,RunEncryptionKeySchedule,isochr,1.531,167,167,341,64,64,316,49,49
main1.c,RunEncryptionKeySchedule,isochr-opt,1.417,157,157,99,80,80,44,23,23
main1.c,LBlock_encrypt,orig,131,44,44,16,3,3,45,2,2
main1.c,LBlock_encrypt,orig-opt,110,42,42,6,1,1,37,0,0
main1.c,LBlock_encrypt,isochr,234,56,56,18,2,2,48,3,3
main1.c,LBlock_encrypt,isochr-opt,180,48,48,8,2,2,39,0,0
main2.c,RunEncryptionKeySchedule,orig,1.530,167,167,341,36,36,315,19,19
main2.c,RunEncryptionKeySchedule,orig-opt,1.411,156,156,102,44,44,43,23,23
main2.c,RunEncryptionKeySchedule,isochr,1.531,167,167,341,64,64,316,49,49
main2.c,RunEncryptionKeySchedule,isochr-opt,1.417,157,157,99,80,80,44,23,23
main2.c,LBlock_encrypt,orig,131,44,44,16,3,3,45,2,2
main2.c,LBlock_encrypt,orig-opt,110,42,42,6,1,1,37,0,0
main2.c,LBlock_encrypt,isochr,234,56,56,18,2,2,48,3,3
main2.c,LBlock_encrypt,isochr-opt,180,48,48,8,2,2,39,0,0
