Src,Fn,Type,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw
main1.c,RunEncryptionKeySchedule,orig,112,13,13,58,9,9,30,8,7
main1.c,RunEncryptionKeySchedule,orig-opt,112,13,13,58,13,13,30,7,7
main1.c,RunEncryptionKeySchedule,isochr,113,13,13,58,7,7,31,6,6
main1.c,RunEncryptionKeySchedule,isochr-opt,112,13,13,58,5,5,30,5,5
main1.c,Piccolo_encrypt,orig,534,114,114,203,68,68,137,39,39
main1.c,Piccolo_encrypt,orig-opt,483,128,128,201,77,77,137,40,40
main1.c,Piccolo_encrypt,isochr,778,147,147,241,112,112,225,119,119
main1.c,Piccolo_encrypt,isochr-opt,483,128,128,201,53,53,137,58,58
main2.c,RunEncryptionKeySchedule,orig,112,13,13,58,9,9,30,8,7
main2.c,RunEncryptionKeySchedule,orig-opt,112,13,13,58,13,13,30,7,7
main2.c,RunEncryptionKeySchedule,isochr,113,13,13,58,7,7,31,6,6
main2.c,RunEncryptionKeySchedule,isochr-opt,112,13,13,58,5,5,30,5,5
main2.c,Piccolo_encrypt,orig,534,114,114,203,68,68,137,39,39
main2.c,Piccolo_encrypt,orig-opt,483,128,128,201,77,77,137,40,40
main2.c,Piccolo_encrypt,isochr,778,147,147,241,112,112,225,119,119
main2.c,Piccolo_encrypt,isochr-opt,483,128,128,201,53,53,137,58,58
