                 Bench,       Src,       Type,     N,        Mean,    Median,       Std,  #Outliers
                  comp,  measure1,       orig,    32,    1184.202,    1170.0,   105.045,          7
                  comp,  measure1,       orig,    64,    1193.854,    1184.0,    76.656,          5
                  comp,  measure1,       orig,    96,    1275.709,    1276.5,    81.177,          6
                  comp,  measure1,       orig,   128,    1308.163,    1298.0,     85.82,         12
                  comp,  measure1,       orig,   160,    1289.007,    1283.0,    88.317,          9
                  comp,  measure1,       orig,   192,    1402.334,    1393.5,    93.334,         14
                  comp,  measure1,       orig,   224,    1406.149,    1394.0,   101.534,         14
                  comp,  measure1,       orig,   256,     1375.16,    1364.0,    94.541,          4
                  comp,  measure1,       orig,   288,     1638.82,    1554.0,   353.618,         17
                  comp,  measure1,       orig,   320,    1632.032,    1616.0,   127.235,         16
                  comp,  measure1,       orig,   352,     1614.15,    1602.0,   123.572,         20
                  comp,  measure1,       orig,   384,    1594.383,    1586.0,   122.568,         12
                  comp,  measure1,       orig,   416,    1562.263,    1545.0,   116.838,         12
                  comp,  measure1,       orig,   448,    1728.129,    1713.0,   145.432,         14
                  comp,  measure1,       orig,   480,    2020.435,    2019.5,   197.476,          6
                  comp,  measure1,       orig,   512,    1964.423,    1936.5,   180.997,         12
                  comp,  measure1,       orig,   544,     1853.48,    1830.0,   138.249,         16
                  comp,  measure1,       orig,   576,    2226.403,    2209.0,   185.431,         12
                  comp,  measure1,       orig,   608,    1962.545,    1951.0,   161.066,         19
                  comp,  measure1,       orig,   640,    2036.676,    2009.0,   155.547,         18
                  comp,  measure1,       orig,   672,    2328.098,    2296.5,   199.331,         18
                  comp,  measure1,       orig,   704,    2410.531,    2389.5,    230.07,         12
                  comp,  measure1,       orig,   736,    2344.584,    2322.0,    157.72,         20
                  comp,  measure1,       orig,   768,    2645.328,    2623.0,   257.658,         19
                  comp,  measure1,       orig,   800,     2254.07,    2223.0,   202.734,         13
                  comp,  measure1,       orig,   832,    2538.518,    2497.5,   221.951,         20
                  comp,  measure1,       orig,   864,    2828.692,    2802.0,   272.594,         16
                  comp,  measure1,       orig,   896,    2540.647,    2524.0,   193.406,         16
                  comp,  measure1,       orig,   928,     2703.53,    2675.0,   234.566,         21
                  comp,  measure1,       orig,   960,     2894.37,    2871.0,   244.643,         22
                  comp,  measure1,       orig,   992,    2917.879,    2840.5,   445.067,          8
                  comp,  measure1,       orig,  1024,    2726.458,    2704.0,   203.417,         27
