                   Bench,       Src,         Type,    N,   #LLVM-IR Instructions
                hash/md5,   measure,         orig,   16,                   18179
                hash/md5,   measure,     orig-opt,   16,                   13753
                hash/md5,   measure,          lif,   16,                   19607
                hash/md5,   measure,      lif-opt,   16,                   13892
                hash/md5,   measure,         meng,   16,                      -1
                hash/md5,   measure,     meng-opt,   16,                      -1
            dudect/aes32,   measure,         orig,   16,                    5727
            dudect/aes32,   measure,     orig-opt,   16,                    4890
            dudect/aes32,   measure,          lif,   16,                   11631
            dudect/aes32,   measure,      lif-opt,   16,                    6986
            dudect/aes32,   measure,         meng,   16,                      -1
            dudect/aes32,   measure,     meng-opt,   16,                      -1
         dudect/donnabad,   measure,         orig,   32,                    7686
         dudect/donnabad,   measure,     orig-opt,   32,                    5255
         dudect/donnabad,   measure,          lif,   32,                   15202
         dudect/donnabad,   measure,      lif-opt,   32,                    6318
         dudect/donnabad,   measure,         meng,   32,                      -1
         dudect/donnabad,   measure,     meng-opt,   32,                      -1
             chronos/aes,   measure,         orig,   64,                    6263
             chronos/aes,   measure,     orig-opt,   64,                    4087
             chronos/aes,   measure,          lif,   64,                   14243
             chronos/aes,   measure,      lif-opt,   64,                    5472
             chronos/aes,   measure,         meng,   64,                   38711
             chronos/aes,   measure,     meng-opt,   64,                   36535
             chronos/des,   measure,         orig,   64,                    4629
             chronos/des,   measure,     orig-opt,   64,                    4056
             chronos/des,   measure,          lif,   64,                    7692
             chronos/des,   measure,      lif-opt,   64,                    4966
             chronos/des,   measure,         meng,   64,                   93589
             chronos/des,   measure,     meng-opt,   64,                   71860
            chronos/des3,   measure,         orig,   64,                    7871
            chronos/des3,   measure,     orig-opt,   64,                    7189
            chronos/des3,   measure,          lif,   64,                   14492
            chronos/des3,   measure,      lif-opt,   64,                    9266
            chronos/des3,   measure,         meng,   64,                   85392
            chronos/des3,   measure,     meng-opt,   64,                   68595
          chronos/anubis,   measure,         orig,   64,                    8313
          chronos/anubis,   measure,     orig-opt,   64,                    6208
          chronos/anubis,   measure,          lif,   64,                   25391
          chronos/anubis,   measure,      lif-opt,   64,                   10336
          chronos/anubis,   measure,         meng,   64,                   96297
          chronos/anubis,   measure,     meng-opt,   64,                   91952
           chronos/cast5,   measure,         orig,   64,                    2830
           chronos/cast5,   measure,     orig-opt,   64,                    2317
           chronos/cast5,   measure,          lif,   64,                    6645
           chronos/cast5,   measure,      lif-opt,   64,                    3429
           chronos/cast5,   measure,         meng,   64,                   25294
           chronos/cast5,   measure,     meng-opt,   64,                   24085
           chronos/cast6,   measure,         orig,   16,                    1218
           chronos/cast6,   measure,     orig-opt,   16,                    1034
           chronos/cast6,   measure,          lif,   16,                    2859
           chronos/cast6,   measure,      lif-opt,   16,                    1440
           chronos/cast6,   measure,         meng,   16,                    6210
           chronos/cast6,   measure,     meng-opt,   16,                    6026
          chronos/fcrypt,   measure,         orig,   64,                    1446
          chronos/fcrypt,   measure,     orig-opt,   64,                    1166
          chronos/fcrypt,   measure,          lif,   64,                    2937
          chronos/fcrypt,   measure,      lif-opt,   64,                    1590
          chronos/fcrypt,   measure,         meng,   64,                   11430
          chronos/fcrypt,   measure,     meng-opt,   64,                   11150
          chronos/khazad,   measure,         orig,   64,                    1822
          chronos/khazad,   measure,     orig-opt,   64,                    1229
          chronos/khazad,   measure,          lif,   64,                    4199
          chronos/khazad,   measure,      lif-opt,   64,                    2209
          chronos/khazad,   measure,         meng,   64,                   41006
          chronos/khazad,   measure,     meng-opt,   64,                   36171
           felics/lblock,   measure,         orig,   64,                    3998
           felics/lblock,   measure,     orig-opt,   64,                    1713
           felics/lblock,   measure,          lif,   64,                   11513
           felics/lblock,   measure,      lif-opt,   64,                    3216
           felics/lblock,   measure,         meng,   64,                    3998
           felics/lblock,   measure,     meng-opt,   64,                    1713
          felics/piccolo,   measure,         orig,   64,                    1128
          felics/piccolo,   measure,     orig-opt,   64,                     870
          felics/piccolo,   measure,          lif,   64,                    2645
          felics/piccolo,   measure,      lif-opt,   64,                    1175
          felics/piccolo,   measure,         meng,   64,                    1128
          felics/piccolo,   measure,     meng-opt,   64,                     870
          felics/present,   measure,         orig,   64,                    7618
          felics/present,   measure,     orig-opt,   64,                    5138
          felics/present,   measure,          lif,   64,                   16624
          felics/present,   measure,      lif-opt,   64,                    7629
          felics/present,   measure,         meng,   64,                    7618
          felics/present,   measure,     meng-opt,   64,                    5138
            felics/twine,   measure,         orig,   64,                   20913
            felics/twine,   measure,     orig-opt,   64,                    5628
            felics/twine,   measure,          lif,   64,                   67949
